"AREFNO","Casualty.Class","Casualty.Sex","Casualty.Age","No..of.Casualties","Mode.of.Travel","Accident.Severity","No..of.Vehicles.in.Acc.","Accident.Date","Time","Highway","Road.Type","Speed.Limit","Junction.Detail","Weather","Road.Surface","month","day","hour","Light.Conditions.Banded","ageband"
1190202029,"Driver/Rider","Male",20,2,"Car","Slight",2,"2019-08-28","18:2500","TLRN","Single CWY",30,"Other","Fine","Road-Dry","August","Wednesday",18,"Daylight","20-29"
1190170594,"Driver/Rider","Female",24,1,"Car","Slight",2,"2019-03-15","14:1500","BOR","Unknown",30,"Other","Other","Other","March","Friday",14,"Daylight","20-29"
1190198382,"Driver/Rider","Male",35,1,"Powered 2 Wheeler","Slight",2,"2019-07-29","18:0900","TLRN","Dual CWY",30,"Roundabout","Fine","Road-Dry","July","Monday",18,"Daylight","30-39"
1190200614,"Driver/Rider","Male",34,1,"Powered 2 Wheeler","Slight",2,"2019-08-20","18:3600","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","August","Tuesday",18,"Daylight","30-39"
1190181409,"Pedestrian","Female",63,2,"Pedestrian","Serious",1,"2019-04-10","18:1500","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","April","Wednesday",18,"Daylight","60-69"
1190174590,"Driver/Rider","Female",26,1,"Car","Slight",2,"2019-04-10","15:3800","BOR","Slip RD",20,"T/STAG JUN","Fine","Road-Dry","April","Wednesday",15,"Daylight","20-29"
1190215454,"Driver/Rider","Male",22,2,"Pedal Cycle","Slight",1,"2019-11-01","17:0000","TLRN","Dual CWY",20,"No JUN in 20M","Raining","Road-Wet","November","Friday",17,"Dark","20-29"
1190223791,"Driver/Rider","Male",29,1,"Pedal Cycle","Serious",2,"2019-12-08","21:2700","BOR","Dual CWY",40,"T/STAG JUN","Fine","Road-Dry","December","Sunday",21,"Dark","20-29"
1190161068,"Passenger","Male",8,1,"Car","Slight",2,"2019-02-02","11:3500","BOR","Roundabout",30,"Other","Fine","Road-Dry","February","Saturday",11,"Daylight","0-9"
1190198829,"Driver/Rider","Male",70,2,"Car","Slight",2,"2019-08-10","12:3000","BOR","Dual CWY",30,"Crossroads","Fine","Road-Dry","August","Saturday",12,"Daylight","70-79"
1190193700,"Driver/Rider","Male",34,1,"Powered 2 Wheeler","Slight",2,"2019-07-15","15:5000","BOR","Single CWY",40,"No JUN in 20M","Fine","Road-Dry","July","Monday",15,"Daylight","30-39"
1190164398,"Driver/Rider","Male",24,4,"Car","Slight",2,"2019-02-20","08:5200","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","February","Wednesday",8,"Daylight","20-29"
1190174047,"Driver/Rider","Male",35,1,"Powered 2 Wheeler","Slight",2,"2019-04-06","09:3000","TLRN","Dual CWY",30,"No JUN in 20M","Fine","Road-Dry","April","Saturday",9,"Daylight","30-39"
1190197796,"Pedestrian","Male",22,1,"Pedestrian","Slight",1,"2019-08-03","21:3000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","August","Saturday",21,"Dark","20-29"
1190190648,"Driver/Rider","Male",31,1,"Powered 2 Wheeler","Slight",2,"2019-06-30","19:0000","TLRN","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","June","Sunday",19,"Daylight","30-39"
1190205772,"Driver/Rider","Male",36,1,"Pedal Cycle","Slight",2,"2019-09-16","20:3500","BOR","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","September","Monday",20,"Dark","30-39"
1190210259,"Driver/Rider","Female",60,1,"Powered 2 Wheeler","Slight",2,"2019-10-03","09:2200","BOR","Unknown",30,"Other","Fine","Road-Dry","October","Thursday",9,"Daylight","60-69"
1190192780,"Driver/Rider","Male",51,1,"Taxi","Slight",2,"2019-07-10","10:5000","BOR","Slip RD",30,"Roundabout","Fine","Road-Dry","July","Wednesday",10,"Daylight","50-59"
1190158178,"Driver/Rider","Female",42,1,"Pedal Cycle","Serious",3,"2019-01-16","09:0000","BOR","Single CWY",30,"Other","Raining","Road-Wet","January","Wednesday",9,"Daylight","40-49"
1190158522,"Pedestrian","Male",38,2,"Pedestrian","Serious",2,"2019-01-20","14:3500","TLRN","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","January","Sunday",14,"Daylight","30-39"
1190187626,"Driver/Rider","Female",27,1,"Car","Slight",2,"2019-06-16","14:4500","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","June","Sunday",14,"Daylight","20-29"
1190206109,"Driver/Rider","Male",49,1,"Goods Vehicle","Slight",2,"2019-09-16","12:1200","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","September","Monday",12,"Daylight","40-49"
1190205903,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Slight",2,"2019-09-17","13:1000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Tuesday",13,"Daylight","20-29"
1190183949,"Driver/Rider","Male",19,1,"Powered 2 Wheeler","Slight",2,"2019-05-29","17:1300","BOR","Single CWY",30,"Other","Other","Road-Dry","May","Wednesday",17,"Daylight","10-19"
1190178308,"Driver/Rider","Female",34,1,"Powered 2 Wheeler","Slight",2,"2019-04-15","15:0500","BOR","Single CWY",30,"T/STAG JUN","Other","Other","April","Monday",15,"Daylight","30-39"
1190216217,"Driver/Rider","Female",41,1,"Car","Slight",2,"2019-11-05","09:0700","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","November","Tuesday",9,"Daylight","40-49"
1190176272,"Pedestrian","Female",24,1,"Pedestrian","Slight",1,"2019-04-21","16:1400","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","April","Sunday",16,"Daylight","20-29"
1190171439,"Pedestrian","Female",16,1,"Pedestrian","Slight",1,"2019-03-26","22:5000","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","March","Tuesday",22,"Dark","10-19"
1190162457,"Driver/Rider","Male",33,1,"Taxi","Slight",1,"2019-02-07","22:5000","BOR","Unknown",20,"No JUN in 20M","Raining","Road-Wet","February","Thursday",22,"Dark","30-39"
1190160037,"Pedestrian","Female",33,1,"Pedestrian","Slight",1,"2019-01-28","08:2700","BOR","Roundabout",30,"Other","Fine","Road-Dry","January","Monday",8,"Daylight","30-39"
