AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1190128300,WESTMINSTER,1,528218,180407,1,1 DRIVER/RIDER,1 MALE,25-59,58,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190128300,WESTMINSTER,1,528218,180407,2,2 PASSENGER,2 FEMALE,U,,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190128300,WESTMINSTER,1,528218,180407,3,2 PASSENGER,2 FEMALE,U,,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190152270,LAMBETH,9,530219,172463,1,1 DRIVER/RIDER,2 FEMALE,16-24,24,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155191,CAMDEN,2,530222,182543,1,2 PASSENGER,2 FEMALE,16-24,21,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE
1190155192,CAMDEN,2,525531,184605,1,3 PEDESTRIAN,1 MALE,60+,68,1,2 SERIOUS,05 CROSSING ROAD (NOT ON XING),4 FROM DRIVERS O/SIDE MSK,1 PEDESTRIAN
1190155194,BRENT,28,524920,184004,1,1 DRIVER/RIDER,2 FEMALE,25-59,47,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155194,BRENT,28,524920,184004,2,2 PASSENGER,2 FEMALE,16-24,16,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155195,NEWHAM,17,540188,185266,1,1 DRIVER/RIDER,1 MALE,16-24,20,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155195,NEWHAM,17,540188,185266,2,2 PASSENGER,1 MALE,25-59,41,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155195,NEWHAM,17,540188,185266,3,2 PASSENGER,1 MALE,25-59,25,3,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155196,CROYDON,20,532424,164886,1,3 PEDESTRIAN,1 MALE,25-59,40,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN
1190155198,SOUTHWARK,8,532773,178460,1,1 DRIVER/RIDER,2 FEMALE,16-24,24,5,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155198,SOUTHWARK,8,532773,178460,2,2 PASSENGER,2 FEMALE,16-24,20,5,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155198,SOUTHWARK,8,532773,178460,3,2 PASSENGER,2 FEMALE,25-59,25,5,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155198,SOUTHWARK,8,532773,178460,4,2 PASSENGER,2 FEMALE,16-24,24,5,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155198,SOUTHWARK,8,532773,178460,5,2 PASSENGER,2 FEMALE,25-59,28,5,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155206,BARKING & DAGENHAM,16,548535,188113,1,2 PASSENGER,1 MALE,60+,74,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR
1190155207,MERTON,22,522267,168185,1,1 DRIVER/RIDER,1 MALE,25-59,34,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,5 TAXI
