"AREFNO","Casualty.Class","Casualty.Sex","Casualty.Age","No..of.Casualties","Mode.of.Travel","Accident.Severity","No..of.Vehicles.in.Acc.","Accident.Date","Time","Highway","Road.Type","Speed.Limit","Junction.Detail","Weather","Road.Surface","month","day","hour","Light.Conditions.Banded","ageband"
1190209109,"Driver/Rider","Male",46,1,"Powered 2 Wheeler","Slight",2,"2019-10-02","14:1200","TLRN","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","October","Wednesday",14,"Daylight","40-49"
1190208218,"Pedestrian","Male",16,1,"Pedestrian","Serious",1,"2019-09-26","20:0000","BOR","One-way ST",20,"No JUN in 20M","Other","Road-Dry","September","Thursday",20,"Dark","10-19"
1190208162,"Driver/Rider","Male",32,3,"Powered 2 Wheeler","Slight",2,"2019-09-28","00:4500","BOR","Dual CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Saturday",0,"Dark","30-39"
1190191822,"Driver/Rider","Male",36,2,"Car","Slight",4,"2019-07-06","06:5000","HA","Dual CWY",50,"No JUN in 20M","Fine","Road-Dry","July","Saturday",6,"Daylight","30-39"
1190173786,"Passenger","Male",28,3,"Car","Serious",2,"2019-04-07","06:4300","TLRN","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","April","Sunday",6,"Daylight","20-29"
1190183273,"Driver/Rider","Male",28,1,"Car","Slight",1,"2019-05-26","02:5000","TLRN","Slip RD",50,"Other","Fine","Road-Dry","May","Sunday",2,"Dark","20-29"
1190170762,"Driver/Rider","Female",30,1,"Car","Slight",2,"2019-03-23","12:3400","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","March","Saturday",12,"Daylight","30-39"
1190180468,"Pedestrian","Male",4,1,"Pedestrian","Slight",1,"2019-05-12","17:4000","BOR","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","May","Sunday",17,"Daylight","0-9"
1190212804,"Driver/Rider","Male",51,1,"Car","Slight",4,"2019-10-14","06:4000","TLRN","Dual CWY",60,"No JUN in 20M","Raining","Road-Wet","October","Monday",6,"Daylight","50-59"
1190167747,"Driver/Rider","Male",35,1,"Powered 2 Wheeler","Serious",2,"2019-03-08","09:4000","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","March","Friday",9,"Daylight","30-39"
1190182889,"Pedestrian","Male",38,1,"Pedestrian","Serious",1,"2019-05-23","07:5800","BOR","One-way ST",20,"Other","Fine","Road-Dry","May","Thursday",7,"Daylight","30-39"
1190163517,"Pedestrian","Female",35,1,"Pedestrian","Serious",1,"2019-02-14","20:5900","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","February","Thursday",20,"Dark","30-39"
